product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Chicken Polony 2 Kg,66879.04,824.0,1648.0,523,124,78.56830972255729,A,High Volume
American Hot Dog Regular  12 x 380g,65170.5,190.0,866.4,18,125,78.72844804656731,A,High Volume
Frio Catering Vienna 4kg Loose,65004.95,454.0,1816.0,306,126,78.8881795776336,A,High Volume
Frio Gold Band Polony 3kg,64478.85,824.0,2472.0,428,127,79.04661836470892,A,High Volume
Eskort Secret Rib Sauce 500ml,64202.159999999996,1714.0,857.0,875,128,79.20437726329375,A,High Volume
Red Viennas 1kg,63240.2,2771.0,2771.0,959,129,79.35977241352366,A,High Volume
Russian Special P/Kg,62655.31,1340.0,1108.66,455,130,79.51373035973748,A,High Volume
Sliced Knuckles 5Kg,62600.79,269.0,1325.0,210,131,79.66755433826002,A,High Volume
Chicken Polony 750g,61571.27,2540.0,1905.0,941,132,79.81884855857393,A,High Volume
Eskort Footlong Cheese Russian 1kg,61486.72,808.0,808.0,478,133,79.96993502084862,A,High Volume
Frio Smokie 4kg Loose,60161.72,407.0,1628.0,244,134,80.1177656652408,B,High Volume
Frio Red Vienna 4kg Loose,59526.78999999999,383.0,1524.0,259,135,80.26403614627586,B,High Volume
Eskort Chicken Vienna 10 x 125g,58429.85,674.0,842.5,49,136,80.40761120325956,B,High Volume
Eskort Cheese Griller 500g,56736.96,3358.0,1679.0,924,137,80.54702645531108,B,High Volume
Eskort Bacon Griller 12 x 500g,56249.46,114.0,684.0,15,138,80.68524381210393,B,High Volume
Eskort Spare Ribs Pre-Cooked Marinated 1Kg TM,56131.68,399.0,399.0,264,139,80.82317175740229,B,High Volume
Chopped Ham Roll 12 x 500g,55924.41,193.0,1158.0,19,140,80.96059039449499,B,High Volume
Supreme Gizzards 1kg,55558.69,1826.0,1826.0,739,141,81.09711037670768,B,High Volume
Red Viennas 500g,53531.07,4541.0,2270.5,805,142,81.22864804838831,B,High Volume
Pork Meaty Bones 2 x 10Kg (Box),53405.43,126.0,2520.0,5,143,81.35987699481704,B,High Volume
RTE: Chicken Portions p/kg,53208.74,2935.0,481.42,1159,144,81.49062263043875,B,High Volume
Russian Sausages 500g,53055.06,2636.0,1317.0,919,145,81.6209906403305,B,High Volume
Onion 7kg C2,52695.35,997.0,6979.0,289,146,81.75047476324073,B,High Volume
Eskort Rindless Back Bacon 2kg,52688.200000000004,220.0,440.0,166,147,81.8799413170205,B,High Volume
